complaint_text,category,department,subcategory,priority,sentiment
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Software Crash,IT,Data Sync Failure,P4,Negative
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,PII Leakage,P1,Negative
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative
Someone attempted multiple password resets on my executive account within the past hour.,Data Exposure,Security,API Key Exposure,P2,Negative
No response received on my initial inquiry submitted over 96 hours ago.,Onboarding,Customer Support,Setup Guide Incomplete,P2,Negative
Tracking number ORD-64172 shows package in transit for 14 days with zero updates from the courier.,Damaged Package,Logistics,Broken Seal,P4,Negative
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Network & Connectivity,IT,DNS Resolution Error,P2,Negative
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Cancellation,Customer Support,Membership Termination,P1,Negative
Session tokens do not seem to invalidate after changing my master password.,Phishing,Security,Suspicious Email Campaign,P2,Negative
Need guidance on how to invite additional team members and manage role-based seat allocation.,Account Management,Customer Support,Profile Information Update,P3,Negative
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Policy Violation,Security,Data Exfiltration Risk,P1,Negative
Need guidance on how to invite additional team members and manage role-based seat allocation.,Onboarding,Customer Support,Initial Sync,P3,Negative
Courier tracking reports delivery exception: address unreachable even though business was open.,Damaged Package,Logistics,Broken Seal,P4,Positive
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Account Management,Customer Support,Verification,P3,Negative
The invoice for company purchase ORD-44995 has the wrong corporate GSTIN number and incorrect billing address.,Refunds,Finance,Double Charge Return,P3,Positive
Received completely wrong model of network switch instead of the enterprise router ordered.,Delivery Delay,Logistics,Courier Exception,P1,Neutral
I want to transfer ownership of our corporate workspace to a different administrator email.,Onboarding,Customer Support,Initial Sync,P3,Negative
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Damaged Package,Logistics,Broken Seal,P3,Neutral
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Returns & Pickup,Logistics,Return Label Expired,P4,Positive
I have been trying to update my primary business email address for three days but verification emails never arrive.,Account Management,Customer Support,Profile Information Update,P2,Positive
Received completely wrong model of network switch instead of the enterprise router ordered.,Damaged Package,Logistics,Broken Seal,P1,Negative
Urgent replacement needed: the received industrial sensors are dead on arrival.,Returns & Pickup,Logistics,Courier Pickup Missed,P2,Positive
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Policy Violation,Security,Unauthorized Tool Usage,P2,Negative
I was charged twice for transaction TXN882032 on my credit card. The amount was $2383.00 and both debits cleared my bank account.,Invoices,Finance,Address Correction,P1,Negative
My refund for order ORD-17897 of $297.00 has not been credited even though customer support confirmed 7 days ago.,Invoices,Finance,Address Correction,P4,Negative
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,General Inquiry,Customer Support,Service Availability,P4,Positive
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Access Sharing,P1,Negative
I want to transfer ownership of our corporate workspace to a different administrator email.,Account Management,Customer Support,Email Change Request,P2,Negative
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Refunds,Finance,Double Charge Return,P2,Negative
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,Sensitive Token in Logs,P2,Negative
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Unauthorized Access,Security,Unrecognized IP Address,P2,Negative
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Network & Connectivity,IT,DNS Resolution Error,P3,Positive
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Empty Box Received,P2,Neutral
I want to transfer ownership of our corporate workspace to a different administrator email.,Cancellation,Customer Support,Membership Termination,P4,Negative
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,General Inquiry,Customer Support,Documentation Query,P4,Neutral
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Returns & Pickup,Logistics,Return Label Expired,P1,Positive
Session tokens do not seem to invalidate after changing my master password.,Policy Violation,Security,Data Exfiltration Risk,P1,Negative
My refund for order ORD-34966 of $226.00 has not been credited even though customer support confirmed 7 days ago.,Invoices,Finance,Address Correction,P3,Neutral
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Shipment Stuck In Transit,P2,Neutral
The internal portal keeps crashing with fatal error code 0x8841 whenever I submit the daily batch job.,Software Crash,IT,Data Sync Failure,P4,Negative
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Damaged Package,Logistics,Defective Unit Inside,P4,Neutral
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Wrong Product Shipped,P4,Negative
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Data Exposure,Security,Sensitive Token in Logs,P2,Negative
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Hardware,IT,Laptop Battery Failure,P4,Negative
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Hardware,IT,Keyboard Malfunction,P4,Positive
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Cancellation,Customer Support,Service Downgrade,P2,Negative
Urgent replacement needed: the received industrial sensors are dead on arrival.,Returns & Pickup,Logistics,Return Label Expired,P1,Negative
There is an unexpected recurring billing charge of $962.00 on my statement that I did not authorize.,Billing,Finance,Currency Conversion Error,P1,Negative
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Payments,Finance,Pending Verification,P4,Negative
I was charged twice for transaction TXN655134 on my credit card. The amount was $2209.00 and both debits cleared my bank account.,Invoices,Finance,Tax Invoice Missing,P2,Negative
My refund for order ORD-78732 of $624.00 has not been credited even though customer support confirmed 7 days ago.,Invoices,Finance,Wrong GSTIN Number,P2,Negative
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Wrong Product Shipped,P3,Neutral
Detected unauthorized export of confidential customer contact lists from our staging environment.,Phishing,Security,Spoofed Domain,P1,Negative
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Policy Violation,Security,Access Sharing,P2,Negative
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Network & Connectivity,IT,Firewall Block,P1,Positive
Bank statement shows duplicate processing fee charges of $205.00 for order ORD-45532.,Payments,Finance,Card Declined,P1,Negative
Received completely wrong model of network switch instead of the enterprise router ordered.,Delivery Delay,Logistics,Past Delivery Date,P2,Neutral
Bank statement shows duplicate processing fee charges of $1608.00 for order ORD-84277.,Refunds,Finance,Partial Refund Dispute,P3,Neutral
The internal portal keeps crashing with fatal error code 0x8841 whenever I submit the daily batch job.,Network & Connectivity,IT,Slow Bandwidth,P1,Negative
Tracking number ORD-45825 shows package in transit for 14 days with zero updates from the courier.,Returns & Pickup,Logistics,Warehouse Receipt Delay,P4,Negative
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,General Inquiry,Customer Support,Feedback Submission,P3,Neutral
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Onboarding,Customer Support,Setup Guide Incomplete,P2,Neutral
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Cancellation,Customer Support,Membership Termination,P3,Negative
There is an unexpected recurring billing charge of $2296.00 on my statement that I did not authorize.,Payments,Finance,Failed UPI Transaction,P4,Negative
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Billing,Finance,Unexpected Fee,P3,Neutral
Why am I being billed $2306.00 every month when I downgraded to the free tier?,Refunds,Finance,Double Charge Return,P2,Positive
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Damaged Package,Logistics,Defective Unit Inside,P3,Neutral
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Network & Connectivity,IT,DNS Resolution Error,P4,Negative
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Cancellation,Customer Support,Auto-Renew Disable,P4,Negative
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Software Crash,IT,Application Memory Leak,P3,Neutral
Need guidance on how to invite additional team members and manage role-based seat allocation.,General Inquiry,Customer Support,Service Availability,P4,Positive
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Access & Permissions,IT,Role Elevation Request,P2,Negative
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Data Exposure,Security,API Key Exposure,P2,Negative
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Damaged Package,Logistics,Crushed Shipping Box,P3,Negative
Detected unauthorized export of confidential customer contact lists from our staging environment.,Policy Violation,Security,Data Exfiltration Risk,P2,Negative
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Policy Violation,Security,Unauthorized Tool Usage,P1,Negative
Received completely wrong model of network switch instead of the enterprise router ordered.,Returns & Pickup,Logistics,Courier Pickup Missed,P1,Negative
Firewall policy is blocking outgoing HTTPS requests to required partner API endpoints.,Software Crash,IT,Fatal Exception On Launch,P3,Neutral
Payment of $2139.00 via payment gateway timed out but money was debited from my account.,Billing,Finance,Subscription Overcharge,P2,Neutral
No response received on my initial inquiry submitted over 96 hours ago.,General Inquiry,Customer Support,Feedback Submission,P4,Neutral
Session tokens do not seem to invalidate after changing my master password.,Unauthorized Access,Security,Session Hijack,P1,Negative
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,Cancellation,Customer Support,Service Downgrade,P4,Negative
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Unapproved Software,P1,Negative
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,Account Management,Customer Support,Email Change Request,P2,Negative
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Returns & Pickup,Logistics,Exchange,P2,Neutral
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative
"Corporate VPN keeps dropping every 10 minutes, disconnecting all active SSH sessions to production servers.",Hardware,IT,Keyboard Malfunction,P2,Negative
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Onboarding,Customer Support,Initial Sync,P3,Positive
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Policy Violation,Security,Unauthorized Tool Usage,P2,Negative
Your live chat representative disconnected the session abruptly without solving my support query.,Account Management,Customer Support,Email Change Request,P1,Negative
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Onboarding,Customer Support,Initial Sync,P4,Neutral
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Access & Permissions,IT,MFA Token Reset,P2,Negative
Your live chat representative disconnected the session abruptly without solving my support query.,General Inquiry,Customer Support,Operating Hours,P3,Positive
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Returns & Pickup,Logistics,Exchange,P2,Negative
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Delivery Delay,Logistics,Past Delivery Date,P3,Negative
Account takeover alert: user reported unexpected password change notification and lock-out.,Policy Violation,Security,Unauthorized Tool Usage,P1,Negative
Urgent replacement needed: the received industrial sensors are dead on arrival.,Delivery Delay,Logistics,Weather Delay,P2,Negative
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Invoices,Finance,Address Correction,P1,Negative
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Software Crash,IT,Frozen Screen,P2,Negative
Courier tracking reports delivery exception: address unreachable even though business was open.,Missing Items,Logistics,Wrong Product Shipped,P3,Negative
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Missing Items,Logistics,Incomplete Order Delivery,P3,Negative
Cannot access the shared department network drive after the latest OS patch was deployed.,Hardware,IT,Monitor Display Glitch,P4,Negative
Return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,Missing Items,Logistics,Shortage,P4,Positive
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Cancellation,Customer Support,Service Downgrade,P1,Neutral
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,Account Management,Customer Support,Verification,P3,Negative
No response received on my initial inquiry submitted over 96 hours ago.,Cancellation,Customer Support,Auto-Renew Disable,P1,Negative
My refund for order ORD-30707 of $1822.00 has not been credited even though customer support confirmed 7 days ago.,Invoices,Finance,Tax Invoice Missing,P4,Negative
Detected unauthorized export of confidential customer contact lists from our staging environment.,Phishing,Security,Spoofed Domain,P2,Negative
Your live chat representative disconnected the session abruptly without solving my support query.,Cancellation,Customer Support,Membership Termination,P1,Neutral
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Onboarding,Customer Support,Initial Sync,P2,Neutral
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Payments,Finance,Card Declined,P1,Negative
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Invoices,Finance,Wrong GSTIN Number,P1,Negative
Payment of $560.00 via payment gateway timed out but money was debited from my account.,Refunds,Finance,Refund Not Credited,P2,Negative
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Delivery Delay,Logistics,Past Delivery Date,P4,Positive
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Phishing,Security,Suspicious Email Campaign,P2,Negative
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Data Exposure,Security,API Key Exposure,P1,Negative
I was charged twice for transaction TXN989079 on my credit card. The amount was $1250.00 and both debits cleared my bank account.,Payments,Finance,Gateway Timeout,P1,Negative
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Damaged Package,Logistics,Defective Unit Inside,P4,Neutral
Bank statement shows duplicate processing fee charges of $64.00 for order ORD-79243.,Payments,Finance,Pending Verification,P3,Negative
Cannot access the shared department network drive after the latest OS patch was deployed.,Access & Permissions,IT,Password Expiry,P4,Negative
Payment of $262.00 via payment gateway timed out but money was debited from my account.,Billing,Finance,Subscription Overcharge,P4,Positive
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,General Inquiry,Customer Support,Feedback Submission,P3,Positive
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Refunds,Finance,Late Cancellation Refund,P3,Neutral
Return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,Delivery Delay,Logistics,Courier Exception,P2,Negative
Account takeover alert: user reported unexpected password change notification and lock-out.,Unauthorized Access,Security,Compromised Token,P2,Negative
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Network & Connectivity,IT,VPN Disconnection,P4,Negative
Received completely wrong model of network switch instead of the enterprise router ordered.,Missing Items,Logistics,Empty Box Received,P1,Negative
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,Public S3 Bucket,P1,Negative
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Data Exposure,Security,Public S3 Bucket,P1,Negative
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,Account Management,Customer Support,Profile Information Update,P1,Negative
Cannot access the shared department network drive after the latest OS patch was deployed.,Network & Connectivity,IT,Firewall Block,P1,Positive
Someone attempted multiple password resets on my executive account within the past hour.,Phishing,Security,Credential Harvesting,P1,Negative
Urgent replacement needed: the received industrial sensors are dead on arrival.,Missing Items,Logistics,Incomplete Order Delivery,P2,Positive
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Invoices,Finance,Tax Invoice Missing,P1,Positive
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Session Hijack,P2,Negative
Received completely wrong model of network switch instead of the enterprise router ordered.,Damaged Package,Logistics,Defective Unit Inside,P2,Negative
The invoice for company purchase ORD-55406 has the wrong corporate GSTIN number and incorrect billing address.,Invoices,Finance,Tax Invoice Missing,P3,Negative
Someone attempted multiple password resets on my executive account within the past hour.,Data Exposure,Security,Public S3 Bucket,P1,Negative
My refund for order ORD-40339 of $2143.00 has not been credited even though customer support confirmed 7 days ago.,Payments,Finance,Gateway Timeout,P4,Negative
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Unauthorized Access,Security,Suspicious Login Attempt,P1,Negative
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Delivery Delay,Logistics,Weather Delay,P3,Neutral
Need guidance on how to invite additional team members and manage role-based seat allocation.,Cancellation,Customer Support,Service Downgrade,P2,Positive
There is an unexpected recurring billing charge of $1301.00 on my statement that I did not authorize.,Payments,Finance,Failed UPI Transaction,P4,Negative
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Missing Items,Logistics,Empty Box Received,P1,Negative
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Software Crash,IT,Application Memory Leak,P1,Negative
Need guidance on how to invite additional team members and manage role-based seat allocation.,General Inquiry,Customer Support,Operating Hours,P4,Positive
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Damaged Package,Logistics,Crushed Shipping Box,P1,Negative
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Hardware,IT,Monitor Display Glitch,P3,Negative
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Billing,Finance,Duplicate Debit,P3,Negative
There is an unexpected recurring billing charge of $1632.00 on my statement that I did not authorize.,Invoices,Finance,Tax Invoice Missing,P4,Negative
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Policy Violation,Security,Data Exfiltration Risk,P1,Negative
Account takeover alert: user reported unexpected password change notification and lock-out.,Phishing,Security,Suspicious Email Campaign,P2,Negative
I want to transfer ownership of our corporate workspace to a different administrator email.,General Inquiry,Customer Support,Feedback Submission,P4,Positive
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Access & Permissions,IT,MFA Token Reset,P1,Neutral
Your live chat representative disconnected the session abruptly without solving my support query.,General Inquiry,Customer Support,Feedback Submission,P4,Positive
Firewall policy is blocking outgoing HTTPS requests to required partner API endpoints.,Network & Connectivity,IT,Slow Bandwidth,P1,Neutral
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Missing Items,Logistics,Empty Box Received,P3,Positive
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Payments,Finance,Pending Verification,P2,Positive
Your live chat representative disconnected the session abruptly without solving my support query.,Cancellation,Customer Support,Membership Termination,P2,Neutral
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Missing Items,Logistics,Empty Box Received,P2,Positive
The internal portal keeps crashing with fatal error code 0x8841 whenever I submit the daily batch job.,Network & Connectivity,IT,Firewall Block,P2,Negative
The internal portal keeps crashing with fatal error code 0x8841 whenever I submit the daily batch job.,Software Crash,IT,Application Memory Leak,P1,Positive
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Account Management,Customer Support,Account Deletion,P3,Negative
SSO authentication enters an infinite redirect loop in Chrome and Edge browsers.,Hardware,IT,Docking Station,P3,Negative
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Damaged Package,Logistics,Defective Unit Inside,P2,Negative
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Returns & Pickup,Logistics,Courier Pickup Missed,P1,Neutral
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Software Crash,IT,Application Memory Leak,P1,Negative
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Session Hijack,P1,Negative
Why am I being billed $696.00 every month when I downgraded to the free tier?,Billing,Finance,Subscription Overcharge,P4,Neutral
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Data Exposure,Security,API Key Exposure,P2,Negative
"Corporate VPN keeps dropping every 10 minutes, disconnecting all active SSH sessions to production servers.",Hardware,IT,Docking Station,P1,Negative
Your live chat representative disconnected the session abruptly without solving my support query.,Account Management,Customer Support,Profile Information Update,P1,Positive
I was charged twice for transaction TXN552275 on my credit card. The amount was $690.00 and both debits cleared my bank account.,Refunds,Finance,Double Charge Return,P2,Negative
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Phishing,Security,Suspicious Email Campaign,P1,Negative
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Wrong Product Shipped,P4,Positive
Tracking number ORD-10500 shows package in transit for 14 days with zero updates from the courier.,Returns & Pickup,Logistics,Return Label Expired,P1,Negative
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Returns & Pickup,Logistics,Return Label Expired,P3,Negative
Payment of $1943.00 via payment gateway timed out but money was debited from my account.,Invoices,Finance,Tax Invoice Missing,P4,Negative
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Invoices,Finance,Wrong GSTIN Number,P4,Negative
Need guidance on how to invite additional team members and manage role-based seat allocation.,General Inquiry,Customer Support,Feedback Submission,P3,Neutral
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Billing,Finance,Unexpected Fee,P1,Neutral
Courier tracking reports delivery exception: address unreachable even though business was open.,Returns & Pickup,Logistics,Exchange,P1,Neutral
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Payments,Finance,Failed UPI Transaction,P2,Negative
Why am I being billed $620.00 every month when I downgraded to the free tier?,Invoices,Finance,Tax Invoice Missing,P3,Negative
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Billing,Finance,Currency Conversion Error,P3,Positive
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Unauthorized Access,Security,Compromised Token,P2,Negative
Courier tracking reports delivery exception: address unreachable even though business was open.,Delivery Delay,Logistics,Shipment Stuck In Transit,P3,Neutral
No response received on my initial inquiry submitted over 96 hours ago.,General Inquiry,Customer Support,Feedback Submission,P3,Positive
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Phishing,Security,Malicious Attachment,P1,Negative
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Data Exposure,Security,PII Leakage,P1,Negative
Our security scanner flagged an exposed API secret token in a public documentation repository.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Unauthorized Access,Security,Unrecognized IP Address,P2,Negative
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Account Management,Customer Support,Email Change Request,P2,Positive
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Past Delivery Date,P2,Negative
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Session Hijack,P2,Negative
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Suspicious Login Attempt,P1,Negative
Cannot access the shared department network drive after the latest OS patch was deployed.,Access & Permissions,IT,Role Elevation Request,P3,Negative
Account takeover alert: user reported unexpected password change notification and lock-out.,Unauthorized Access,Security,Unrecognized IP Address,P2,Negative
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Hardware,IT,Keyboard Malfunction,P4,Negative
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Network & Connectivity,IT,DNS Resolution Error,P4,Neutral
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,General Inquiry,Customer Support,Documentation Query,P4,Neutral
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Billing,Finance,Unexpected Fee,P3,Negative
Detected unauthorized export of confidential customer contact lists from our staging environment.,Unauthorized Access,Security,Session Hijack,P1,Negative
I want to transfer ownership of our corporate workspace to a different administrator email.,Onboarding,Customer Support,API Key Provisioning,P4,Negative
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Network & Connectivity,IT,Firewall Block,P4,Negative
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Damaged Package,Logistics,Water Damage,P3,Positive
Need guidance on how to invite additional team members and manage role-based seat allocation.,Onboarding,Customer Support,API Key Provisioning,P3,Positive
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Software Crash,IT,Application Memory Leak,P4,Negative
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Cancellation,Customer Support,Contract Review,P1,Positive
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Weather Delay,P3,Neutral
The invoice for company purchase ORD-63633 has the wrong corporate GSTIN number and incorrect billing address.,Payments,Finance,Card Declined,P4,Negative
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Onboarding,Customer Support,Setup Guide Incomplete,P3,Negative
The invoice for company purchase ORD-32099 has the wrong corporate GSTIN number and incorrect billing address.,Invoices,Finance,Address Correction,P2,Neutral
Why am I being billed $1970.00 every month when I downgraded to the free tier?,Payments,Finance,Pending Verification,P4,Negative
I was charged twice for transaction TXN437864 on my credit card. The amount was $795.00 and both debits cleared my bank account.,Payments,Finance,Gateway Timeout,P1,Negative
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Payments,Finance,Card Declined,P4,Positive
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Missing Items,Logistics,Empty Box Received,P3,Negative
Our security scanner flagged an exposed API secret token in a public documentation repository.,Data Exposure,Security,API Key Exposure,P1,Negative
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Access & Permissions,IT,SSO Login Loop,P1,Positive
Received completely wrong model of network switch instead of the enterprise router ordered.,Damaged Package,Logistics,Crushed Shipping Box,P4,Negative
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Delivery Delay,Logistics,Shipment Stuck In Transit,P2,Negative
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Access Sharing,P2,Negative
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Hardware,IT,Laptop Battery Failure,P3,Positive
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Damaged Package,Logistics,Defective Unit Inside,P3,Negative
The invoice for company purchase ORD-36181 has the wrong corporate GSTIN number and incorrect billing address.,Billing,Finance,Currency Conversion Error,P2,Negative
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Data Exposure,Security,Sensitive Token in Logs,P2,Negative
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Returns & Pickup,Logistics,Return Label Expired,P2,Negative
Need guidance on how to invite additional team members and manage role-based seat allocation.,Onboarding,Customer Support,Initial Sync,P1,Negative
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Refunds,Finance,Refund Not Credited,P1,Negative
Cannot access the shared department network drive after the latest OS patch was deployed.,Hardware,IT,Keyboard Malfunction,P1,Negative
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Onboarding,Customer Support,Setup Guide Incomplete,P4,Neutral
Our security scanner flagged an exposed API secret token in a public documentation repository.,Phishing,Security,Suspicious Email Campaign,P1,Negative
Our security scanner flagged an exposed API secret token in a public documentation repository.,Policy Violation,Security,Access Sharing,P2,Negative
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Payments,Finance,Pending Verification,P1,Negative
I want to transfer ownership of our corporate workspace to a different administrator email.,Cancellation,Customer Support,Membership Termination,P2,Negative
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Weather Delay,P2,Positive
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Delivery Delay,Logistics,Shipment Stuck In Transit,P2,Negative
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Returns & Pickup,Logistics,Exchange,P4,Negative
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Unapproved Software,P1,Negative
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Policy Violation,Security,Unauthorized Tool Usage,P2,Negative
