complaint_text,category,department,subcategory,priority,sentiment,cleaned_text,department_encoded,category_encoded,priority_encoded,sentiment_encoded
Cannot access the shared department network drive after the latest OS patch was deployed.,Network & Connectivity,IT,Firewall Block,P1,Positive,cannot access the shared department network drive after the latest os patch was deployed.,2,11,0,2
I want to transfer ownership of our corporate workspace to a different administrator email.,Account Management,Customer Support,Email Change Request,P2,Negative,i want to transfer ownership of our corporate workspace to a different administrator email.,0,1,1,0
"Corporate VPN keeps dropping every 10 minutes, disconnecting all active SSH sessions to production servers.",Access & Permissions,IT,Role Elevation Request,P4,Positive,"corporate vpn keeps dropping every 10 minutes, disconnecting all active ssh sessions to production servers.",2,0,3,2
There is an unexpected recurring billing charge of $1041.00 on my statement that I did not authorize.,Payments,Finance,Gateway Timeout,P2,Negative,there is an unexpected recurring billing charge of currency_amount on my statement that i did not authorize.,1,13,1,0
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Billing,Finance,Subscription Overcharge,P1,Neutral,unable to generate downloadable pdf tax invoices for the past quarter from the billing portal.,1,2,0,1
Session tokens do not seem to invalidate after changing my master password.,Phishing,Security,Spoofed Domain,P1,Negative,session tokens do not seem to invalidate after changing my master password.,4,14,0,0
Tracking number ORD-86569 shows package in transit for 14 days with zero updates from the courier.,Delivery Delay,Logistics,Courier Exception,P2,Negative,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,6,1,0
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Phishing,Security,Credential Harvesting,P1,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,14,0,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Refunds,Finance,Double Charge Return,P1,Neutral,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,16,0,1
My refund for order ORD-70341 of $1471.00 has not been credited even though customer support confirmed 7 days ago.,Refunds,Finance,Partial Refund Dispute,P2,Negative,my refund for order order_id of currency_amount has not been credited even though customer support confirmed 7 days ago.,1,16,1,0
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Phishing,Security,Spoofed Domain,P1,Negative,urgent i received a login notification from an unrecognized ip address in moscow while i was offline.,4,14,0,0
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,General Inquiry,Customer Support,Feedback Submission,P4,Neutral,i requested account deletion under gdpr regulations two weeks ago but my account is still active.,0,7,3,1
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Delivery Delay,Logistics,Weather Delay,P3,Negative,delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,3,6,2,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Refunds,Finance,Partial Refund Dispute,P4,Negative,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,16,3,0
Firewall policy is blocking outgoing HTTPS requests to required partner API endpoints.,Network & Connectivity,IT,Slow Bandwidth,P1,Neutral,firewall policy is blocking outgoing https requests to required partner api endpoints.,2,11,0,1
Received completely wrong model of network switch instead of the enterprise router ordered.,Missing Items,Logistics,Empty Box Received,P1,Negative,received completely wrong model of network switch instead of the enterprise router ordered.,3,10,0,0
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Hardware,IT,Keyboard Malfunction,P4,Negative,the desktop client hangs indefinitely when exporting reports larger than 50mb.,2,8,3,0
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Hardware,IT,Monitor Display Glitch,P1,Positive,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,8,0,2
Cannot access the shared department network drive after the latest OS patch was deployed.,Network & Connectivity,IT,Firewall Block,P1,Negative,cannot access the shared department network drive after the latest os patch was deployed.,2,11,0,0
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Unauthorized Tool Usage,P1,Negative,multiple team members received a convincing phishing email pretending to be from it asking for sso passwords.,4,15,0,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Refunds,Finance,Partial Refund Dispute,P4,Neutral,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,16,3,1
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Refunds,Finance,Partial Refund Dispute,P3,Positive,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,16,2,2
My refund for order ORD-34966 of $226.00 has not been credited even though customer support confirmed 7 days ago.,Invoices,Finance,Address Correction,P3,Neutral,my refund for order order_id of currency_amount has not been credited even though customer support confirmed 7 days ago.,1,9,2,1
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Network & Connectivity,IT,Slow Bandwidth,P1,Negative,company laptop battery is swelling and will not hold charge for more than 15 minutes off the charger.,2,11,0,0
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Unauthorized Access,Security,Session Hijack,P2,Negative,a suspicious email with a macro-enabled macro document attachment was sent to our finance department.,4,19,1,0
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Phishing,Security,Suspicious Email Campaign,P1,Negative,multiple team members received a convincing phishing email pretending to be from it asking for sso passwords.,4,14,0,0
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,General Inquiry,Customer Support,Feedback Submission,P4,Neutral,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,7,3,1
Payment of $1716.00 via payment gateway timed out but money was debited from my account.,Payments,Finance,Pending Verification,P4,Neutral,payment of currency_amount via payment gateway timed out but money was debited from my account.,1,13,3,1
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Data Exposure,Security,API Key Exposure,P2,Negative,a suspicious email with a macro-enabled macro document attachment was sent to our finance department.,4,5,1,0
Tracking number ORD-88579 shows package in transit for 14 days with zero updates from the courier.,Missing Items,Logistics,Empty Box Received,P2,Positive,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,10,1,2
Bank statement shows duplicate processing fee charges of $1608.00 for order ORD-84277.,Refunds,Finance,Partial Refund Dispute,P3,Neutral,bank statement shows duplicate processing fee charges of currency_amount for order order_id.,1,16,2,1
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Phishing,Security,Malicious Attachment,P2,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,14,1,0
No response received on my initial inquiry submitted over 96 hours ago.,Cancellation,Customer Support,Contract Review,P4,Negative,no response received on my initial inquiry submitted over 96 hours ago.,0,3,3,0
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,Account Management,Customer Support,Verification,P3,Negative,i requested account deletion under gdpr regulations two weeks ago but my account is still active.,0,1,2,0
I want to transfer ownership of our corporate workspace to a different administrator email.,General Inquiry,Customer Support,Feedback Submission,P3,Positive,i want to transfer ownership of our corporate workspace to a different administrator email.,0,7,2,2
I was charged twice for transaction TXN772612 on my credit card. The amount was $1099.00 and both debits cleared my bank account.,Billing,Finance,Subscription Overcharge,P2,Negative,i was charged twice for transaction transaction_id on my credit card. the amount was currency_amount and both debits cleared my bank account.,1,2,1,0
There is an unexpected recurring billing charge of $2296.00 on my statement that I did not authorize.,Payments,Finance,Failed UPI Transaction,P4,Negative,there is an unexpected recurring billing charge of currency_amount on my statement that i did not authorize.,1,13,3,0
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Cancellation,Customer Support,Contract Review,P2,Neutral,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,3,1,1
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Invoices,Finance,Tax Invoice Missing,P1,Negative,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,9,0,0
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Missing Items,Logistics,Empty Box Received,P2,Neutral,delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,3,10,1,1
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Access & Permissions,IT,Password Expiry,P4,Negative,my mfa token has become desynchronized and i am completely locked out of the single sign-on system.,2,0,3,0
Need guidance on how to invite additional team members and manage role-based seat allocation.,Account Management,Customer Support,Account Deletion,P4,Neutral,need guidance on how to invite additional team members and manage role-based seat allocation.,0,1,3,1
Our security scanner flagged an exposed API secret token in a public documentation repository.,Phishing,Security,Spoofed Domain,P2,Negative,our security scanner flagged an exposed api secret token in a public documentation repository.,4,14,1,0
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Damaged Package,Logistics,Crushed Shipping Box,P1,Negative,delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,3,4,0,0
Your live chat representative disconnected the session abruptly without solving my support query.,Cancellation,Customer Support,Service Downgrade,P2,Negative,your live chat representative disconnected the session abruptly without solving my support query.,0,3,1,0
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,General Inquiry,Customer Support,Feedback Submission,P3,Positive,the onboarding documentation has broken links and outdated code examples that do not work with the latest sdk.,0,7,2,2
Received completely wrong model of network switch instead of the enterprise router ordered.,Damaged Package,Logistics,Water Damage,P4,Neutral,received completely wrong model of network switch instead of the enterprise router ordered.,3,4,3,1
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Account Management,Customer Support,Account Deletion,P3,Negative,i cannot complete account verification because your sms otp service does not support my regional carrier.,0,1,2,0
Your live chat representative disconnected the session abruptly without solving my support query.,Account Management,Customer Support,Account Deletion,P2,Positive,your live chat representative disconnected the session abruptly without solving my support query.,0,1,1,2
Why am I being billed $696.00 every month when I downgraded to the free tier?,Billing,Finance,Subscription Overcharge,P4,Neutral,why am i being billed currency_amount every month when i downgraded to the free tier?,1,2,3,1
Payment of $262.00 via payment gateway timed out but money was debited from my account.,Billing,Finance,Subscription Overcharge,P4,Positive,payment of currency_amount via payment gateway timed out but money was debited from my account.,1,2,3,2
Your live chat representative disconnected the session abruptly without solving my support query.,Cancellation,Customer Support,Membership Termination,P1,Neutral,your live chat representative disconnected the session abruptly without solving my support query.,0,3,0,1
Tracking number ORD-10500 shows package in transit for 14 days with zero updates from the courier.,Returns & Pickup,Logistics,Return Label Expired,P1,Negative,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,17,0,0
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Refunds,Finance,Refund Not Credited,P3,Negative,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,16,2,0
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Hardware,IT,Monitor Display Glitch,P3,Negative,the desktop client hangs indefinitely when exporting reports larger than 50mb.,2,8,2,0
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,Onboarding,Customer Support,Setup Guide Incomplete,P3,Neutral,the onboarding documentation has broken links and outdated code examples that do not work with the latest sdk.,0,12,2,1
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Damaged Package,Logistics,Broken Seal,P1,Negative,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,4,0,0
Return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,Missing Items,Logistics,Shortage,P3,Neutral,return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,3,10,2,1
Your live chat representative disconnected the session abruptly without solving my support query.,General Inquiry,Customer Support,Feedback Submission,P4,Positive,your live chat representative disconnected the session abruptly without solving my support query.,0,7,3,2
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Network & Connectivity,IT,DNS Resolution Error,P4,Neutral,dns resolution errors are preventing our branch office from reaching the core database cluster.,2,11,3,1
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Hardware,IT,Laptop Battery Failure,P4,Negative,my mfa token has become desynchronized and i am completely locked out of the single sign-on system.,2,8,3,0
Urgent replacement needed: the received industrial sensors are dead on arrival.,Delivery Delay,Logistics,Weather Delay,P2,Negative,urgent replacement needed the received industrial sensors are dead on arrival.,3,6,1,0
Need guidance on how to invite additional team members and manage role-based seat allocation.,General Inquiry,Customer Support,Operating Hours,P4,Positive,need guidance on how to invite additional team members and manage role-based seat allocation.,0,7,3,2
Payment of $2030.00 via payment gateway timed out but money was debited from my account.,Invoices,Finance,Duplicate Invoice,P2,Negative,payment of currency_amount via payment gateway timed out but money was debited from my account.,1,9,1,0
Need guidance on how to invite additional team members and manage role-based seat allocation.,Account Management,Customer Support,Profile Information Update,P3,Negative,need guidance on how to invite additional team members and manage role-based seat allocation.,0,1,2,0
Session tokens do not seem to invalidate after changing my master password.,Phishing,Security,Suspicious Email Campaign,P2,Negative,session tokens do not seem to invalidate after changing my master password.,4,14,1,0
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Phishing,Security,Suspicious Email Campaign,P1,Negative,a suspicious email with a macro-enabled macro document attachment was sent to our finance department.,4,14,0,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Billing,Finance,Currency Conversion Error,P1,Negative,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,2,0,0
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Delivery Delay,Logistics,Past Delivery Date,P3,Negative,the shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,3,6,2,0
Our security scanner flagged an exposed API secret token in a public documentation repository.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative,our security scanner flagged an exposed api secret token in a public documentation repository.,4,5,0,0
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Data Exposure,Security,Public S3 Bucket,P1,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,5,0,0
SSO authentication enters an infinite redirect loop in Chrome and Edge browsers.,Access & Permissions,IT,Role Elevation Request,P4,Neutral,sso authentication enters an infinite redirect loop in chrome and edge browsers.,2,0,3,1
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Software Crash,IT,Application Memory Leak,P3,Negative,the desktop client hangs indefinitely when exporting reports larger than 50mb.,2,18,2,0
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Unauthorized Access,Security,Compromised Token,P2,Negative,multiple team members received a convincing phishing email pretending to be from it asking for sso passwords.,4,19,1,0
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Phishing,Security,Malicious Attachment,P1,Negative,urgent i received a login notification from an unrecognized ip address in moscow while i was offline.,4,14,0,0
The invoice for company purchase ORD-36181 has the wrong corporate GSTIN number and incorrect billing address.,Billing,Finance,Currency Conversion Error,P2,Negative,the invoice for company purchase order_id has the wrong corporate gstin number and incorrect billing address.,1,2,1,0
I have been trying to update my primary business email address for three days but verification emails never arrive.,Onboarding,Customer Support,API Key Provisioning,P3,Negative,i have been trying to update my primary business email address for three days but verification emails never arrive.,0,12,2,0
Urgent replacement needed: the received industrial sensors are dead on arrival.,Missing Items,Logistics,Shortage,P1,Positive,urgent replacement needed the received industrial sensors are dead on arrival.,3,10,0,2
No response received on my initial inquiry submitted over 96 hours ago.,Onboarding,Customer Support,Setup Guide Incomplete,P2,Negative,no response received on my initial inquiry submitted over 96 hours ago.,0,12,1,0
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Delivery Delay,Logistics,Shipment Stuck In Transit,P1,Negative,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,6,0,0
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Unauthorized Access,Security,Session Hijack,P2,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,19,1,0
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Account Management,Customer Support,Verification,P3,Negative,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,1,2,0
Received completely wrong model of network switch instead of the enterprise router ordered.,Delivery Delay,Logistics,Past Delivery Date,P3,Positive,received completely wrong model of network switch instead of the enterprise router ordered.,3,6,2,2
No response received on my initial inquiry submitted over 96 hours ago.,Cancellation,Customer Support,Service Downgrade,P3,Neutral,no response received on my initial inquiry submitted over 96 hours ago.,0,3,2,1
Account takeover alert: user reported unexpected password change notification and lock-out.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative,account takeover alert user reported unexpected password change notification and lock-out.,4,19,0,0
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Missing Items,Logistics,Empty Box Received,P1,Negative,delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,3,10,0,0
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Network & Connectivity,IT,VPN Disconnection,P3,Neutral,my mfa token has become desynchronized and i am completely locked out of the single sign-on system.,2,11,2,1
Where can I find the official SLA documentation and technical specifications for enterprise tier?,General Inquiry,Customer Support,Service Availability,P4,Neutral,where can i find the official sla documentation and technical specifications for enterprise tier?,0,7,3,1
"Corporate VPN keeps dropping every 10 minutes, disconnecting all active SSH sessions to production servers.",Software Crash,IT,Data Sync Failure,P3,Negative,"corporate vpn keeps dropping every 10 minutes, disconnecting all active ssh sessions to production servers.",2,18,2,0
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Account Management,Customer Support,Verification,P3,Negative,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,1,2,0
There is an unexpected recurring billing charge of $1301.00 on my statement that I did not authorize.,Payments,Finance,Failed UPI Transaction,P4,Negative,there is an unexpected recurring billing charge of currency_amount on my statement that i did not authorize.,1,13,3,0
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Past Delivery Date,P2,Negative,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,6,1,0
Received completely wrong model of network switch instead of the enterprise router ordered.,Delivery Delay,Logistics,Past Delivery Date,P2,Neutral,received completely wrong model of network switch instead of the enterprise router ordered.,3,6,1,1
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Network & Connectivity,IT,Firewall Block,P2,Negative,my mfa token has become desynchronized and i am completely locked out of the single sign-on system.,2,11,1,0
Tracking number ORD-46583 shows package in transit for 14 days with zero updates from the courier.,Delivery Delay,Logistics,Weather Delay,P3,Negative,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,6,2,0
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,5,0,0
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Missing Items,Logistics,Empty Box Received,P3,Negative,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,10,2,0
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Missing Items,Logistics,Empty Box Received,P3,Positive,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,10,2,2
Need guidance on how to invite additional team members and manage role-based seat allocation.,Account Management,Customer Support,Profile Information Update,P2,Negative,need guidance on how to invite additional team members and manage role-based seat allocation.,0,1,1,0
Payment of $2274.00 via payment gateway timed out but money was debited from my account.,Refunds,Finance,Partial Refund Dispute,P4,Positive,payment of currency_amount via payment gateway timed out but money was debited from my account.,1,16,3,2
Account takeover alert: user reported unexpected password change notification and lock-out.,Data Exposure,Security,API Key Exposure,P2,Negative,account takeover alert user reported unexpected password change notification and lock-out.,4,5,1,0
Where can I find the official SLA documentation and technical specifications for enterprise tier?,General Inquiry,Customer Support,Feedback Submission,P4,Positive,where can i find the official sla documentation and technical specifications for enterprise tier?,0,7,3,2
Need guidance on how to invite additional team members and manage role-based seat allocation.,General Inquiry,Customer Support,Feedback Submission,P3,Neutral,need guidance on how to invite additional team members and manage role-based seat allocation.,0,7,2,1
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Access & Permissions,IT,SSO Login Loop,P4,Negative,company laptop battery is swelling and will not hold charge for more than 15 minutes off the charger.,2,0,3,0
Firewall policy is blocking outgoing HTTPS requests to required partner API endpoints.,Software Crash,IT,Fatal Exception On Launch,P3,Neutral,firewall policy is blocking outgoing https requests to required partner api endpoints.,2,18,2,1
Cannot access the shared department network drive after the latest OS patch was deployed.,Software Crash,IT,Data Sync Failure,P1,Positive,cannot access the shared department network drive after the latest os patch was deployed.,2,18,0,2
Cannot access the shared department network drive after the latest OS patch was deployed.,Access & Permissions,IT,Password Expiry,P4,Negative,cannot access the shared department network drive after the latest os patch was deployed.,2,0,3,0
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Policy Violation,Security,Unauthorized Tool Usage,P1,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,15,0,0
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Missing Items,Logistics,Shortage,P4,Negative,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,10,3,0
Where can I find the official SLA documentation and technical specifications for enterprise tier?,General Inquiry,Customer Support,Documentation Query,P4,Positive,where can i find the official sla documentation and technical specifications for enterprise tier?,0,7,3,2
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,General Inquiry,Customer Support,Feedback Submission,P3,Neutral,the onboarding documentation has broken links and outdated code examples that do not work with the latest sdk.,0,7,2,1
My refund for order ORD-53309 of $305.00 has not been credited even though customer support confirmed 7 days ago.,Billing,Finance,Duplicate Debit,P2,Negative,my refund for order order_id of currency_amount has not been credited even though customer support confirmed 7 days ago.,1,2,1,0
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Access & Permissions,IT,SSO Login Loop,P1,Neutral,my mfa token has become desynchronized and i am completely locked out of the single sign-on system.,2,0,0,1
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Delivery Delay,Logistics,Courier Exception,P1,Negative,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,6,0,0
Cannot access the shared department network drive after the latest OS patch was deployed.,Access & Permissions,IT,Password Expiry,P2,Neutral,cannot access the shared department network drive after the latest os patch was deployed.,2,0,1,1
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,PII Leakage,P1,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,5,0,0
Our security scanner flagged an exposed API secret token in a public documentation repository.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative,our security scanner flagged an exposed api secret token in a public documentation repository.,4,19,0,0
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative,a suspicious email with a macro-enabled macro document attachment was sent to our finance department.,4,5,0,0
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Returns & Pickup,Logistics,Return Label Expired,P2,Negative,the shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,3,17,1,0
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Software Crash,IT,Frozen Screen,P2,Negative,my mfa token has become desynchronized and i am completely locked out of the single sign-on system.,2,18,1,0
The invoice for company purchase ORD-63633 has the wrong corporate GSTIN number and incorrect billing address.,Payments,Finance,Card Declined,P4,Negative,the invoice for company purchase order_id has the wrong corporate gstin number and incorrect billing address.,1,13,3,0
Return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,Missing Items,Logistics,Shortage,P4,Negative,return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,3,10,3,0
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Refunds,Finance,Late Cancellation Refund,P3,Neutral,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,16,2,1
Our security scanner flagged an exposed API secret token in a public documentation repository.,Phishing,Security,Malicious Attachment,P1,Negative,our security scanner flagged an exposed api secret token in a public documentation repository.,4,14,0,0
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Billing,Finance,Currency Conversion Error,P2,Negative,unable to generate downloadable pdf tax invoices for the past quarter from the billing portal.,1,2,1,0
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Damaged Package,Logistics,Defective Unit Inside,P4,Neutral,package was marked as delivered on the tracking portal but no package was left at our reception desk.,3,4,3,1
SSO authentication enters an infinite redirect loop in Chrome and Edge browsers.,Access & Permissions,IT,SSO Login Loop,P1,Negative,sso authentication enters an infinite redirect loop in chrome and edge browsers.,2,0,0,0
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Onboarding,Customer Support,Initial Sync,P4,Neutral,i cannot complete account verification because your sms otp service does not support my regional carrier.,0,12,3,1
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Access & Permissions,IT,Password Expiry,P1,Neutral,the desktop client hangs indefinitely when exporting reports larger than 50mb.,2,0,0,1
I want to transfer ownership of our corporate workspace to a different administrator email.,Account Management,Customer Support,Account Deletion,P3,Neutral,i want to transfer ownership of our corporate workspace to a different administrator email.,0,1,2,1
There is an unexpected recurring billing charge of $842.00 on my statement that I did not authorize.,Billing,Finance,Subscription Overcharge,P1,Neutral,there is an unexpected recurring billing charge of currency_amount on my statement that i did not authorize.,1,2,0,1
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,General Inquiry,Customer Support,Documentation Query,P4,Neutral,i cannot complete account verification because your sms otp service does not support my regional carrier.,0,7,3,1
Detected unauthorized export of confidential customer contact lists from our staging environment.,Unauthorized Access,Security,Suspicious Login Attempt,P1,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,19,0,0
SSO authentication enters an infinite redirect loop in Chrome and Edge browsers.,Hardware,IT,Docking Station,P4,Positive,sso authentication enters an infinite redirect loop in chrome and edge browsers.,2,8,3,2
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Invoices,Finance,Address Correction,P1,Negative,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,9,0,0
Our security scanner flagged an exposed API secret token in a public documentation repository.,Policy Violation,Security,Access Sharing,P2,Negative,our security scanner flagged an exposed api secret token in a public documentation repository.,4,15,1,0
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Returns & Pickup,Logistics,Exchange,P2,Negative,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,17,1,0
Received completely wrong model of network switch instead of the enterprise router ordered.,Returns & Pickup,Logistics,Exchange,P4,Negative,received completely wrong model of network switch instead of the enterprise router ordered.,3,17,3,0
Your live chat representative disconnected the session abruptly without solving my support query.,Account Management,Customer Support,Profile Information Update,P1,Positive,your live chat representative disconnected the session abruptly without solving my support query.,0,1,0,2
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Hardware,IT,Keyboard Malfunction,P4,Positive,company laptop battery is swelling and will not hold charge for more than 15 minutes off the charger.,2,8,3,2
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Wrong Product Shipped,P4,Positive,package was marked as delivered on the tracking portal but no package was left at our reception desk.,3,10,3,2
Urgent replacement needed: the received industrial sensors are dead on arrival.,Returns & Pickup,Logistics,Courier Pickup Missed,P2,Positive,urgent replacement needed the received industrial sensors are dead on arrival.,3,17,1,2
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Access Sharing,P1,Negative,multiple team members received a convincing phishing email pretending to be from it asking for sso passwords.,4,15,0,0
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Phishing,Security,Malicious Attachment,P2,Negative,security vulnerability noticed login endpoint does not enforce rate limiting on failed attempts.,4,14,1,0
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Session Hijack,P2,Negative,someone attempted multiple password resets on my executive account within the past hour.,4,19,1,0
Urgent replacement needed: the received industrial sensors are dead on arrival.,Delivery Delay,Logistics,Shipment Stuck In Transit,P2,Negative,urgent replacement needed the received industrial sensors are dead on arrival.,3,6,1,0
Return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,Delivery Delay,Logistics,Courier Exception,P2,Negative,return package was delivered to your warehouse 10 days ago but the exchange unit has not shipped.,3,6,1,0
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Onboarding,Customer Support,API Key Provisioning,P3,Neutral,i cannot complete account verification because your sms otp service does not support my regional carrier.,0,12,2,1
